t_sec,symbol,bid,bid_size,ask,ask_size
1762.641,S1,301.00,1000,600.00,2259
1762.848,S1,301.00,1000,600.00,3259
1763.981,S1,301.00,1000,600.00,4259
1764.271,S1,301.00,1000,600.00,3809
1764.281,S1,301.00,1000,600.00,3559
1765.299,S1,301.00,1000,600.00,3309
1765.967,S1,301.00,1000,600.00,4309
1765.998,S1,320.00,600,600.00,4309
1766.343,S1,320.00,600,600.00,4559
1767.953,S1,320.00,1200,600.00,4559
1768.573,S1,320.00,1200,599.00,1000
1769.643,S1,320.00,1200,599.00,710
1773.815,S1,320.00,1200,590.00,250
1775.594,S1,320.00,1200,600.00,1519
1778.053,S1,330.00,500,600.00,1519
1778.285,S1,400.00,1000,600.00,1519
1779.999,S1,400.00,1000,600.00,2519
1780.344,S1,400.00,1000,580.00,1000
1780.465,S1,400.00,1000,580.00,550
1780.820,S1,400.00,1000,580.00,1550
1780.973,S1,400.00,1000,580.00,2550
1783.380,S1,400.00,1000,500.00,1000
1784.402,S1,400.00,1000,500.00,2000
1787.246,S1,400.00,1000,500.00,3000
1790.691,S1,400.00,1000,500.00,2710
1791.548,S1,401.00,600,500.00,2710
1792.001,S1,401.00,600,500.00,1710
1792.849,S1,401.00,1200,500.00,1710
1797.012,S1,401.00,1200,490.00,1000
1797.810,S1,401.00,1200,490.00,2000
1799.412,S1,401.00,1200,490.00,1710
1803.421,S1,402.00,1000,490.00,1710
1806.930,S1,450.00,1000,490.00,1710
1807.637,S1,450.00,2000,490.00,1710
1808.217,S1,450.00,3000,490.00,1710
1810.024,S1,450.00,4000,490.00,1710
1813.382,S1,450.00,4000,490.00,1610
1821.978,S1,460.00,500,490.00,1610
1823.286,S1,460.00,500,470.00,1000
1823.987,S1,460.00,500,470.00,2000
1829.561,S1,460.00,300,470.00,2000
1830.656,S1,460.00,100,470.00,2000
1849.238,S1,460.00,1100,470.00,2000
1852.913,S1,460.00,1100,465.00,1000
1853.809,S1,460.00,900,465.00,1000
1854.389,S1,460.00,700,465.00,1000
1854.904,S1,460.00,500,465.00,1000
1855.489,S1,460.00,300,465.00,1000
1856.154,S1,460.00,100,465.00,1000
1859.454,S1,460.00,100,465.00,2000
1859.738,S1,460.00,100,465.00,3000
1859.929,S1,460.00,100,465.00,4000
1860.350,S1,460.00,100,465.00,5000
1864.470,S1,460.00,100,465.00,5250
1869.260,S1,460.00,100,465.00,4750
1870.783,S1,460.00,100,461.00,1000
1871.391,S1,450.00,3850,461.00,1000
1874.249,S1,450.00,3270,461.00,1000
1875.799,S1,450.00,3020,461.00,1000
1877.158,S1,450.00,3020,461.00,2000
1877.675,S1,450.00,2770,461.00,2000
1877.880,S1,450.00,2770,461.00,3000
1878.046,S1,450.00,2770,461.00,4000
1878.563,S1,450.00,2770,461.00,5000
1879.090,S1,450.00,2520,461.00,5000
1881.577,S1,450.00,2270,461.00,5000
1882.764,S1,450.00,1270,461.00,5000
1883.748,S1,450.00,270,461.00,5000
1884.799,S1,380.00,20,461.00,5000
1885.908,S1,380.00,20,450.00,1000
1888.310,S1,350.00,120,450.00,1000
1889.088,S1,320.00,320,450.00,1000
1894.462,S1,320.00,320,440.00,1000
1898.622,S1,320.00,320,400.00,1000
1899.570,S1,320.00,320,400.00,2000
1899.733,S1,320.00,320,400.00,3000
1906.853,S1,350.00,200,400.00,3000
1909.073,S1,350.00,200,400.00,3250
1912.048,S1,350.00,200,370.00,1000
1923.114,S1,350.00,200,400.00,3250
1929.023,S1,350.00,200,360.00,1000
1936.570,S1,350.00,200,355.00,1000
1940.358,S1,330.00,150,355.00,1000
1944.089,S1,330.00,150,340.00,1000
1944.544,S1,330.00,150,340.00,2000
1945.063,S1,330.00,150,340.00,3000
1945.692,S1,330.00,150,340.00,4000
1946.333,S1,330.00,150,340.00,5000
