id,t_sec,symbol,price,qty,taker_side,buyer,seller,bid,ask
3730,3184.224,S1,500.00,591,sell,T-023,T-022,500.00,900.00
3731,3184.224,S1,300.00,400,sell,T-011,T-022,500.00,900.00
3732,3184.224,S1,200.00,9,sell,T-038,T-022,500.00,900.00
3733,3184.447,S1,200.00,91,sell,T-038,T-022,200.00,900.00
3734,3184.447,S1,111.00,1,sell,T-028,T-022,200.00,900.00
3735,3184.447,S1,110.00,908,sell,T-005,T-022,200.00,900.00
3736,3184.978,S1,110.00,92,sell,T-005,T-022,110.00,890.00
3737,3184.978,S1,95.00,550,sell,T-007,T-022,110.00,890.00
3738,3184.978,S1,90.00,54,sell,T-032,T-022,110.00,890.00
3739,3184.978,S1,90.00,304,sell,T-011,T-022,110.00,890.00
3740,3185.824,S1,890.00,200,buy,T-025,T-027,90.00,890.00
3741,3185.824,S1,900.00,800,buy,T-025,T-041,90.00,890.00
3742,3186.658,S1,900.00,100,buy,T-025,T-041,90.00,900.00
3743,3186.658,S1,1000.00,818,buy,T-025,T-035,90.00,900.00
3744,3186.658,S1,1000.00,82,buy,T-025,T-034,90.00,900.00
3745,3187.255,S1,90.00,196,sell,T-011,T-022,90.00,1000.00
3746,3187.255,S1,81.00,804,sell,T-004,T-022,90.00,1000.00
3747,3200.082,S1,101.00,120,sell,T-040,T-014,101.00,999.00
3748,3201.665,S1,101.00,120,sell,T-040,T-014,101.00,999.00
3749,3201.766,S1,999.00,100,buy,T-025,T-017,101.00,999.00
3750,3201.766,S1,1000.00,200,buy,T-025,T-034,101.00,999.00
3751,3201.766,S1,1000.00,200,buy,T-025,T-034,101.00,999.00
3752,3201.766,S1,1000.00,200,buy,T-025,T-034,101.00,999.00
3753,3201.766,S1,1000.00,100,buy,T-025,T-038,101.00,999.00
3754,3201.766,S1,1000.00,200,buy,T-025,T-034,101.00,999.00
3755,3202.367,S1,1000.00,200,buy,T-025,T-034,101.00,1000.00
3756,3202.367,S1,1000.00,50,buy,T-025,T-004,101.00,1000.00
3757,3202.367,S1,1000.00,750,buy,T-025,T-023,101.00,1000.00
3758,3202.951,S1,101.00,120,sell,T-040,T-014,101.00,1000.00
3759,3203.620,S1,998.00,100,buy,T-025,T-017,101.00,998.00
3760,3203.620,S1,1000.00,250,buy,T-025,T-023,101.00,998.00
3761,3203.620,S1,1000.00,650,buy,T-025,T-023,101.00,998.00
3762,3203.811,S1,1000.00,350,buy,T-025,T-023,102.00,1000.00
3763,3203.811,S1,1000.00,650,buy,T-025,T-023,102.00,1000.00
3764,3204.043,S1,1000.00,350,buy,T-025,T-023,102.00,1000.00
3765,3204.043,S1,1000.00,650,buy,T-025,T-023,102.00,1000.00
3766,3204.236,S1,1000.00,350,buy,T-025,T-023,102.00,1000.00
3767,3204.236,S1,1000.00,120,buy,T-025,T-014,102.00,1000.00
3768,3204.236,S1,1000.00,530,buy,T-025,T-023,102.00,1000.00
3769,3204.369,S1,950.00,200,buy,T-025,T-010,102.00,950.00
3770,3204.369,S1,1000.00,470,buy,T-025,T-023,102.00,950.00
3771,3204.369,S1,1000.00,330,buy,T-025,T-023,102.00,950.00
3772,3204.400,S1,102.00,120,sell,T-012,T-014,102.00,1000.00
3773,3204.520,S1,1000.00,670,buy,T-025,T-023,102.00,1000.00
3774,3204.520,S1,1000.00,330,buy,T-025,T-023,102.00,1000.00
3775,3204.661,S1,1000.00,670,buy,T-025,T-023,102.00,1000.00
3776,3204.661,S1,1000.00,330,buy,T-025,T-023,102.00,1000.00
3777,3204.844,S1,1000.00,670,buy,T-025,T-023,102.00,1000.00
3778,3204.844,S1,1000.00,330,buy,T-025,T-023,102.00,1000.00
3779,3205.069,S1,1000.00,670,buy,T-025,T-023,102.00,1000.00
3780,3205.069,S1,1000.00,330,buy,T-025,T-023,102.00,1000.00
3781,3205.466,S1,102.00,120,sell,T-012,T-014,102.00,1000.00
3782,3205.516,S1,1000.00,670,buy,T-025,T-023,102.00,1000.00
3783,3205.516,S1,1100.00,330,buy,T-025,T-024,102.00,1000.00
3784,3206.263,S1,102.00,120,sell,T-012,T-014,102.00,1100.00
3785,3207.291,S1,102.00,120,sell,T-012,T-014,102.00,1100.00
3786,3207.484,S1,1100.00,670,buy,T-025,T-024,102.00,1100.00
3787,3207.484,S1,1300.00,330,buy,T-025,T-015,102.00,1100.00
3788,3208.268,S1,102.00,100,sell,T-012,T-014,102.00,1300.00
3789,3208.268,S1,102.00,20,sell,T-012,T-014,102.00,1300.00
3790,3208.986,S1,1300.00,670,buy,T-025,T-015,102.00,1300.00
3791,3208.986,S1,1500.00,330,buy,T-025,T-035,102.00,1300.00
3792,3212.656,S1,400.00,120,sell,T-023,T-014,400.00,900.00
3793,3213.029,S1,400.00,120,sell,T-023,T-014,400.00,900.00
3794,3213.421,S1,400.00,120,sell,T-023,T-014,400.00,900.00
3795,3213.786,S1,400.00,120,sell,T-023,T-014,400.00,900.00
3796,3214.220,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3797,3215.283,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3798,3216.046,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3799,3216.933,S1,500.00,100,sell,T-017,T-014,500.00,800.00
3800,3216.933,S1,400.00,20,sell,T-023,T-014,500.00,800.00
3801,3217.795,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3802,3218.414,S1,400.00,20,sell,T-023,T-014,400.00,800.00
3803,3218.414,S1,400.00,100,sell,T-023,T-014,400.00,800.00
3804,3218.618,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3805,3218.779,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3806,3218.947,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3807,3219.129,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3808,3219.299,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3809,3219.469,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3810,3219.644,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3811,3219.785,S1,400.00,60,sell,T-023,T-014,400.00,800.00
3812,3219.785,S1,400.00,60,sell,T-023,T-014,400.00,800.00
3813,3219.950,S1,400.00,120,sell,T-023,T-014,400.00,800.00
3814,3221.288,S1,800.00,360,buy,T-025,T-040,500.00,800.00
3815,3221.288,S1,900.00,252,buy,T-025,T-041,500.00,800.00
3816,3221.288,S1,1499.99,100,buy,T-025,T-013,500.00,800.00
3817,3221.288,S1,1500.00,288,buy,T-025,T-035,500.00,800.00
3818,3221.297,S1,500.00,120,sell,T-010,T-014,500.00,1500.00
3819,3221.488,S1,500.00,80,sell,T-010,T-014,500.00,1500.00
3820,3221.488,S1,400.00,40,sell,T-023,T-014,500.00,1500.00
3821,3221.643,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3822,3221.782,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3823,3222.032,S1,1500.00,382,buy,T-025,T-035,400.00,1500.00
3824,3222.032,S1,1500.00,618,buy,T-025,T-035,400.00,1500.00
3825,3222.085,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3826,3222.245,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3827,3222.411,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3828,3222.611,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3829,3222.801,S1,400.00,60,sell,T-023,T-014,400.00,1500.00
3830,3222.801,S1,400.00,60,sell,T-023,T-014,400.00,1500.00
3831,3223.013,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
3832,3223.176,S1,400.00,120,sell,T-023,T-014,400.00,1500.00
